48.750416	50.000000	1008	0	2488	0.100000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2480  	LogFile:	_mop3ok_t5_it5_50_010.txt	00000000000000000000000001111100000000000000000000	0	1563058184
49.283020	50.000000	1596	0	3074	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2956  	LogFile:	_mop3ok_t5_it5_50_011.txt	00000000000000000000000000000000000000000000000000	0	1563058189
49.780674	50.000000	2504	0	3154	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3144  	LogFile:	_mop3ok_t5_it5_50_012.txt	11111111111111111111111111111111111111111111111111	0	1563058194
48.406662	50.000000	1806	0	2454	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2438  	LogFile:	_mop3ok_t5_it5_50_013.txt	00000000000000000000000000000000000000000000000000	0	1563058202
49.941540	50.000000	1232	0	2324	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2310  	LogFile:	_mop3ok_t5_it5_50_014.txt	11111111111111111111111111111111111111111111111111	0	1563058207
49.859886	50.000000	996	0	4494	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4482  	LogFile:	_mop3ok_t5_it5_50_015.txt	00000000000000000000000000000000000000000000000000	0	1563058212
47.412437	50.000000	1000	0	1644	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1632  	LogFile:	_mop3ok_t5_it5_50_016.txt	11111111111111111111111111111111111111111111111111	0	1563058217
49.710415	50.000000	3312	0	4162	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4154  	LogFile:	_mop3ok_t5_it5_50_017.txt	11111111111111111111111111111111111111111111111111	0	1563058222
48.291779	50.000000	1808	0	2232	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2228  	LogFile:	_mop3ok_t5_it5_50_018.txt	11111111111111111111111111111111111111111111111111	0	1563058227
49.304043	50.000000	3842	0	4054	1.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4052  	LogFile:	_mop3ok_t5_it5_50_019.txt	11111111111111111111111111111111111111111111111111	0	1563058232
49.473454	50.000000	1802	0	2684	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2562  	LogFile:	_mop3ok_t5_it5_50_020.txt	00000000000000000000000000000000000000000000000000	0	1563058237
48.448574	50.000000	1026	0	2088	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2078  	LogFile:	_mop3ok_t5_it5_50_021.txt	00000000000000000000000000000000000000000000000000	0	1563058242
49.965275	50.000000	796	0	2702	0.000000 	 GenLen: 	 50 	 PFSize: 	 11 	 HypVol: 	 55.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 20.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2690  	LogFile:	_mop3ok_t5_it5_50_022.txt	00000000000000000000000000000000000000000000000000	0	1563058247
