21.798487	25.000000	590	0	690	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 642  	LogFile:	_mop3ok_01max_25_048.txt	1111111111111111111111111	0	1563055491
24.999939	25.000000	694	0	892	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 325.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 50.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 844  	LogFile:	_mop3ok_01max_25_049.txt	1111111111111111111111111	0	1563055496
43.755913	50.000000	598	0	598	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 500  	LogFile:	_mop3ok_01max_50_000.txt	11111111111111111111111111111111111111111111111111	0	1563055501
49.730309	50.000000	586	0	586	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 412  	LogFile:	_mop3ok_01max_50_001.txt	00000000000000000000000000000000000000000000000000	0	1563055506
34.054077	50.000000	196	0	396	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 298  	LogFile:	_mop3ok_01max_50_002.txt	11111111111111111111111111111111111111111111111111	0	1563055511
48.144169	50.000000	1186	1	1774	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1676  	LogFile:	_mop3ok_01max_50_003.txt	00000000000000000000000000000000000000000000000000	1	1563055516
49.997772	50.000000	1982	1	2568	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2470  	LogFile:	_mop3ok_01max_50_004.txt	00000000000000000000000000000000000000000000000000	1	1563055521
42.931911	50.000000	198	0	992	1.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 894  	LogFile:	_mop3ok_01max_50_005.txt	11111111111111111111111111111111111111111111111111	0	1563055526
40.358349	50.000000	396	1	396	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 298  	LogFile:	_mop3ok_01max_50_006.txt	00000000000000000000000000000000000000000000000000	1	1563055531
48.762444	50.000000	1582	1	3758	0.000000 	 GenLen: 	 50 	 PFSize: 	 51 	 HypVol: 	 1275.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 100.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3660  	LogFile:	_mop3ok_01max_50_007.txt	00000000000000000000000000000000000000000000000000	1	1563055536
