0.125305	1.000000	1828	0	25870174	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2447  	LogFile:	_mogomea_zz_paint_08_02__004.txt	0001100000001101000010001100100000101011000010000001110010010101001110	345	1555435896
0.125305	1.000000	1874	1	26673495	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2232  	LogFile:	_mogomea_zz_paint_08_02__005.txt	0001100000001100001100001010100100001000001110000000111010001011011010	354	1555435904
0.125305	1.000000	607	0	25001323	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4461  	LogFile:	_mogomea_zz_paint_08_02__006.txt	0010100000001100001100100101000001010100010001100001100011001010001101	236	1555435934
0.125305	1.000000	519	0	26972580	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 22457  	LogFile:	_mogomea_zz_paint_08_02__007.txt	0001100000001100010100000111000010001000100110000000111011011001000101	371	1555435942
0.125305	1.000000	580	0	25881737	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 36825  	LogFile:	_mogomea_zz_paint_08_02__008.txt	1000100000001100001101010000100010010000010101000001011010000011011110	332	1555435974
0.125305	1.000000	969	0	25996408	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 14625  	LogFile:	_mogomea_zz_paint_08_02__009.txt	0100010000001100001010000111000000110000010101000011001010000110101110	289	1555436095
0.125305	1.000000	555	0	26921938	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 33495  	LogFile:	_mogomea_zz_paint_08_02__010.txt	0001010000001100100010001011000010001000100110010010010011001101100010	361	1555436162
0.125305	1.000000	576	0	25174251	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 19494  	LogFile:	_mogomea_zz_paint_08_02__011.txt	0001010000001100001100001010100000101001001010000011100011110010000101	261	1555436171
0.125305	1.000000	565	0	26572014	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 5166  	LogFile:	_mogomea_zz_paint_08_02__012.txt	0100010000001100001101100001000000110000001110110000001100110011010010	324	1555436243
0.125305	1.000000	1000	0	25071777	0.342857 	 PFSize: 	 6 	 HypVol: 	 0.99564173 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20070844 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 7646  	LogFile:	_mogomea_zz_paint_08_02__013.txt	0100010000001100100010001011000000101000110010000010011010000110111010	233	1555436260
