7816320.0000000000000000	1.0000000000000000	1602	0	25000342	0.510000 	 GenLen: 	 100 	 PFSize: 	 2 	 HypVol: 	 18837081.00000000 	 IGD: 	 599112.71666667 	 GD: 	 484473.00000000 	 MaxSpread: 	 7330.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1114 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_043.txt	0001011101101101111110010011010011101111110111000000110011100001110110010100000010001110011011000010	15533	1568662068
7333120.0000000000000000	1.0000000000000000	1602	0	25000342	0.490000 	 GenLen: 	 100 	 PFSize: 	 3 	 HypVol: 	 18390223.00000000 	 IGD: 	 596723.18333333 	 GD: 	 591519.33333333 	 MaxSpread: 	 253817.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 473 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_100_044.txt	1100010111011100000111100000011101100001011110000010111110000111010000111100101011000001011001111010	15747	1568662074
7980048.0000000000000000	1.0000000000000000	1602	0	25000342	0.510000 	 GenLen: 	 100 	 PFSize: 	 3 	 HypVol: 	 18807538.00000000 	 IGD: 	 623117.12500000 	 GD: 	 625545.00000000 	 MaxSpread: 	 155245.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 391 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_100_045.txt	0111110000100001100000110010011011101010000100001100011101000110111011111101010110101101100011101011	16143	1568662079
8395500.0000000000000000	1.0000000000000000	1602	0	25000342	0.530000 	 GenLen: 	 100 	 PFSize: 	 4 	 HypVol: 	 18216503.00000000 	 IGD: 	 652826.55000000 	 GD: 	 627277.50000000 	 MaxSpread: 	 295210.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1059 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_046.txt	1001110000011010011101010011100011011000000001010111000111011110101101111010000101101101010100111111	15958	1568662084
6549888.0000000000000000	1.0000000000000000	2003	0	25000342	0.510000 	 GenLen: 	 100 	 PFSize: 	 5 	 HypVol: 	 18428615.00000000 	 IGD: 	 580830.03333333 	 GD: 	 534563.40000000 	 MaxSpread: 	 114274.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 704 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_100_047.txt	1010100001011010011101101010110011111111010001000000010011010000110100110101001111001011111010110100	15722	1568662089
8806944.0000000000000000	1.0000000000000000	1602	0	25000342	0.540000 	 GenLen: 	 100 	 PFSize: 	 2 	 HypVol: 	 18813852.00000000 	 IGD: 	 618700.30833333 	 GD: 	 581976.50000000 	 MaxSpread: 	 20313.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1133 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_048.txt	0100000011110110110110101000101001110101000101110111000110011110111110001010110110011011000010111110	15647	1568662094
7214420.0000000000000000	1.0000000000000000	1201	0	25000342	0.510000 	 GenLen: 	 100 	 PFSize: 	 7 	 HypVol: 	 18754251.00000000 	 IGD: 	 770817.96666667 	 GD: 	 814887.14285714 	 MaxSpread: 	 433498.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1116 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_049.txt	1111001111001100001110101100000010010110000100000100011111011000011001011011011011011100101110011011	15797	1568662099
49235406.0000000000000000	1.0000000000000000	1201	0	25000342	0.508000 	 GenLen: 	 250 	 PFSize: 	 7 	 HypVol: 	 123283779.00000000 	 IGD: 	 5804598.10954064 	 GD: 	 5549815.71428571 	 MaxSpread: 	 1189348.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 968 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_000.txt	0110001011101100110110100001010110001001100110000010110110000110111010111110111110010111101100000010110000111111010010011000011001110010000111011010010110101101110001100110011011000000100101110011000111011100100100000110010111010011110010101001101111	8540	1568968737
50943774.0000000000000000	1.0000000000000000	2003	0	25000342	0.512000 	 GenLen: 	 250 	 PFSize: 	 5 	 HypVol: 	 123044057.00000000 	 IGD: 	 5588548.31625442 	 GD: 	 5151453.80000000 	 MaxSpread: 	 535050.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 934 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_001.txt	1100101111000101001100110101011010100010111110011100000111000101111011110000101111000101101101010100010001011100011011110111110100101101111101001011001001001100000100110111001000100101100010000011101001000011101111010111011100000110000110011010011011	8515	1568968742
48930048.0000000000000000	1.0000000000000000	2404	0	25000342	0.516000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 123502815.00000000 	 IGD: 	 5255390.33922261 	 GD: 	 5165261.50000000 	 MaxSpread: 	 459476.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1121 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_002.txt	0111111100100110111110100001000011000100000111011010010110011100111011110111111110010110001101101010100010011010111101011000101011010000101000000110010001100010101001111010110001101001111010011001110010011100111010000101001011111001100100110100110110	8580	1568968747
